price,price_qualifier,displayAddress,summary,phone_number,propertySubType,bedrooms,bathrooms
"£895,000",Guide Price,"Naylors Road, Knowlsey, L27","Rare opportunity to acquire 3.2 acres in Naylors Road, Knowsley. Planning permission for 4 luxury homes or equestrian facility. Stunning design by MSA architects. Visualisations available. Reference: 23/02682/FUL. Unique blend of residential and equestrian living.",01925 931032,Land for sale,,
"£250,000",Offers in Excess of,"Viola Drive, Liverpool, Merseyside, L27","Sutton Kersh are pleased to present this beautifully maintained three-bedroom semi-detached family home to the market. The property benefits from double glazing and gas central heating throughout. The ground floor briefly comprises a welcoming entrance hallway leading to a spacious, bright family...",0151 453 2272,Semi-Detached,3,3
"£245,000",,"Sherford Close, Liverpool, L27","Purple Bricks are delighted to offer to the market this beautifully presented and extended four bedroom semi detached property. Upon entering the accommodation you will find a spacious hallway leading to a downstairs W.C, which is a fantastic space and could turned into a downstairs shower room. ...",020 3907 2647,Semi-Detached,4,3
"£240,000",,"Viola Drive, Belle Vale, Liverpool, L27","Available for sale with no onward chain is this stunning three bedroom semi detached home, located on Viola Drive in the popular residential area of Belle Vale, L27. Boasting an attractive frontage, this modern property offers generous and beautifully presented living proportions throughout, prom...",0151 453 1497,Semi-Detached,3,2
"£225,000",,"Viola Drive, Belle Vale, Liverpool, L27","This stunning three bedroom semi detached home, located on Viola Drive in the popular residential area of Belle Vale, L27, is introduced to the sales market by appointed agents Move Residential. Certain to make a brilliant future home for a very lucky family, this modern property boasts an attrac...",0151 453 1497,Semi-Detached,3,1
"£220,000",,"Viola Drive, Liverpool, L27","Welcome to Viola Drive, a modern semi-detached family home located in the vibrant area of Liverpool, Merseyside, L27 1AF. This delightful property combines contemporary design with practical living spaces, making it an ideal choice for families looking for a comfortable and stylish home. Upon en...",020 3907 2647,Semi-Detached,3,1
"£210,000",Offers in Region of,"Calderwood Park, Liverpool, L27",Set in a fantastic position this delightful three bedroom end plot semi detached home provides excellent living space completed to a high standard with quality fitments and tasteful décor throughout. Perfect for first time buyers or for those looking for a starter home for their young family.,01525 659945,Semi-Detached,3,2
"£190,000",,"Calderwood Park, Liverpool, L27","Set on a corner plot with lots of potential to extend, this modern semi-detached house offers stylish living spaces and contemporary design in a sought-after neighbourhood. Perfect for families, couples, or individuals seeking a comfortable and elegant home with excellent amenities. As you enter...",020 3907 2647,Semi-Detached,3,1
"£185,000",,"Stonechat Close, Liverpool, L27","Homesure are delighted to welcome to the market this charming 3 bed semi detached property located in Netherley.Upon entering, the immaculate interior welcomes you.",0151 453 2429,Semi-Detached,3,1
"£180,000",Offers in Region of,"Roseside Drive, Liverpool, L27","BRAND NEW TP THE MARKET, a charming three-bedroom end terrace property nestled on Roseside Drive in the heart of Liverpool. Boasting a recent refurbishment, this residence effortlessly combines modern aesthetics with timeless appeal. The property has a side , gated entrance to the back garden , ...",020 3907 2647,End of Terrace,3,2
"£170,000",,"Brownbill Bank, Liverpool, L27 7AD",Looking for your first home? WiseMove Estate Agents are delighted to present to the sales market this three bedroom semi-detached home on Brownbill Bank. Located in the popular postcode of L27,0151 453 1291,Semi-Detached,3,2
"£160,000",,"Woodgate, Liverpool, L27","This well-presented mid-terrace family home, located in the popular area of Woodgate, Liverpool, offers a comfortable living space perfect for modern family life. Upon entering the property, you are welcomed into a spacious entrance hall leading to the versatile living/dining room, a generous spa...",020 3907 2647,Terraced,3,1
"£160,000",,"Barnstream Close, Netherley, Liverpool, L27","Move Residential are thrilled to introduce to the sales market this delightful three bedroom mid terrace home on Barnstream Close, in the favoured residential area of Netherley, L27. Offering generously proportioned and beautifully presented accommodation throughout, this home is ready to be move...",0151 453 1497,Terraced,3,1
"£155,000",Offers in Region of,"Waterford Road, Liverpool, Merseyside, L27",Brought to the market is this vastly improved and meticulously maintained 3 bedroom mid-town house property in a highly sought after area.,0151 453 3725,Terraced,3,1
"£155,000",Offers in Excess of,"Bramblewood Close, Netherley, Liverpool, Merseyside, L27",Brouught to the market is this 4 bedroom terrace property in the popular L27 area.,0151 453 3725,Terraced,4,2
"£150,000",,"Newchurch Close, Liverpool, Merseyside, L27",We are pleased to offer for sale this 3 double bedroom end of terrace property in a popular residential location.,0151 453 3725,End of Terrace,3,2
"£150,000",,"Sherford Close, Liverpool, Merseyside, L27","Welcome to this 3 double bedroom, mid town house property, with gardens front and rear, driveway and ground floor WC; making it a perfect property for any first time or starter family home.",0151 453 3725,Terraced,3,1
"£142,500",,"Winnipeg Drive, Liverpool, Merseyside, L27",A well presented and well maintained 3 bedroom mid town house property with driveway and gardens.,0151 453 3725,Terraced,3,2
"£140,000",Offers in Excess of,"Sharwood Road, Liverpool, L27","Set in a fantastic position in the sought after location of L27 is this delightful three bedroom terraced property which provides excellent living space. Perfect for first time buyers or for those looking for a starter home for their young family, this delightful property has a great deal to offer.",01525 659945,Terraced,3,2
"£140,000",,"Parkview Drive, Netherley, Liverpool","Cameron Mackenzie are pleased to offer for sale this mid terraced property situated in an established residential area of Liverpool. The accommodation briefly comprises of entrance hall, ground floor WC, through lounge/dining room, fitted kitchen, three bedrooms, bedroom three currently bei (cont.)",0151 453 8807,Terraced,3,1
"£135,000",,"Winnipeg Drive, L27","Notice Of Offer Property Address:5 Winnipeg Drive, L27 7DB We advise that an offer has been made for the above property in the sum of £125,000. Any persons wishing to increase on this offer should notify the agents of their best offer prior to exchange of contracts. Agents Address: Cent...",0151 453 3828,Terraced,3,1
"£130,000",Offers in Region of,"Osprey Close, Liverpool, Merseyside, L27","Sutton Kersh are delighted to offer for sale this beautifully presented and chic two bedroom, mid terraced dwelling. The property offers well-planned accommodation across two floors, with ergonomic living throughout. Briefly comprising, to the ground floor, a welcoming entrance vestibule, leading...",0151 453 2272,Terraced,2,1
"£125,000",,"Clematis Road, Liverpool, Merseyside, L27",Entwistle Green are pleased to present to the market this three bedroom mid terraced house situated in L27. No chain involved. This would be an ideal first purchase or family home due to the endless potential to renovate and put your own stamp on the property. The property benefits fro...,0151 453 3741,Not Specified,,
"£125,000",,"Clematis Road, Netherley, Liverpool, L27","Venmore Estate Agents are pleased to present to the sales market this three bedroom terrace property in the popular residential area of Netherley, Liverpool. Sold with no onward chain.",0151 453 6513,Terraced,3,1
"£110,000",,"Victoria Falls Road, Liverpool, Merseyside, L27","Entwistle Green is pleased to offer for sale this end town house property that has so much potential to make a lovely family home or first purchase. It currently has great accommodation comprising of a hallway, cloakroom and WC, lounge and dining room, kitchen. To the first floor are 3 bedrooms w...",0151 453 3741,End of Terrace,3,1
"£100,000",,"Heysham Lawn, Netherley, Liverpool, Merseyside, L27","Located on the ever popular Woodlands Estate in Netherley, this 3 bedroom town house property is being offered for sale with no onward chain!",0151 453 3725,Town House,3,1
"£90,000",Offers Over,"Broomhill Close, Netherley, Liverpool","This first floor apartment is situated in an established residential area of Netherley not far from Belle Vale shopping centre with its shops and amenities. The accommodation briefly comprises of entrance hall, lounge, kitchen, two bedrooms and bathroom. There is a communal area to the rea (cont.)",0151 453 8807,Apartment,2,1
"£70,000",,"Gateside Close, Liverpool, Merseyside, L27","A rare opportunity to acquire a 50% Shared Ownership bungalow. Attractively presented and enjoying a cul-de-sac position. The accommodation includes a hall, lounge, kitchen, Conservatory, two bedrooms and bathroom / wet room. Externally there are delightful landscaped gardens. The property furthe...",0151 453 1898,Bungalow,2,1
"£51,250",Shared ownership,"Sherford Close, Liverpool, L27","PurpleBricks are delighted to offer for sale this beautifully presented three bedroom semi detached property offered on a 25% shared ownership basis with Riverside Home Ownership, provides an ideal buy for the first time buyer. Upon entering the accommodation you will find a spacious hallway lead...",020 3907 2647,Terraced,3,1
